iter	Passed	Remaining
0	245	83569
1	491	83225
2	696	78462
3	936	78869
4	1137	76468
5	1363	76146
6	1597	76246
7	1826	76011
8	2027	74784
9	2228	73766
10	2490	74713
11	2683	73579
12	2912	73491
13	3128	73067
14	3316	72089
15	3539	71904
16	3756	71602
17	3971	71271
18	4228	71654
19	4455	71506
20	4720	71930
21	4953	71818
22	5155	71286
23	5383	71100
24	5601	70797
25	5797	70240
26	6036	70197
27	6223	69566
28	6418	69056
29	6614	68574
30	6869	68697
31	7110	68664
32	7337	68484
33	7553	68200
34	7780	68025
35	8007	67837
36	8224	67574
37	8445	67337
38	8637	66883
39	8866	66724
40	9100	66589
41	9343	66513
42	9522	65991
43	9738	65738
44	9975	65613
45	10193	65368
46	10442	65320
47	10705	65347
48	10900	64956
49	11130	64781
50	11321	64374
51	11576	64336
52	11828	64276
53	12017	63868
54	12235	63622
55	12468	63458
56	12693	63244
57	12887	62883
58	13103	62629
59	13328	62420
60	13552	62209
61	13799	62095
62	14003	61792
63	14178	61364
64	14402	61157
65	14619	60913
66	14869	60809
67	15069	60500
68	15280	60234
69	15498	60003
70	15683	59640
71	15874	59308
72	16093	59082
73	16311	58852
74	16536	58650
75	16786	58533
76	17037	58414
77	17226	58085
78	17457	57896
79	17669	57648
80	17897	57448
81	18107	57192
82	18314	56929
83	18527	56686
84	18741	56445
85	18969	56245
86	19177	55988
87	19386	55736
88	19587	55460
89	19813	55258
90	20019	54999
91	20264	54845
92	20492	54647
93	20677	54333
94	20909	54145
95	21104	53859
96	21346	53695
97	21576	53500
98	21804	53299
99	22016	53059
100	22277	52937
101	22524	52778
102	22766	52604
103	22976	52359
104	23200	52144
105	23393	51863
106	23595	51602
107	23811	51370
108	24076	51245
109	24327	51088
110	24551	50872
111	24765	50636
112	25026	50496
113	25257	50293
114	25489	50093
115	25732	49912
116	25990	49758
117	26224	49560
118	26447	49339
119	26669	49117
120	26926	48957
121	27151	48738
122	27416	48591
123	27653	48394
124	27872	48163
125	28121	47984
126	28394	47846
127	28613	47615
128	28870	47445
129	29118	47261
130	29373	47087
131	29587	46846
132	29782	46577
133	29996	46338
134	30206	46093
135	30431	45871
136	30646	45634
137	30878	45423
138	31084	45173
139	31332	44985
140	31526	44718
141	31732	44470
142	31937	44220
143	32181	44025
144	32410	43810
145	32624	43574
146	32839	43338
147	33067	43122
148	33294	42902
149	33516	42677
150	33736	42449
151	33988	42261
152	34220	42049
153	34497	41889
154	34771	41725
155	35039	41552
156	35431	41524
157	35698	41347
158	36017	41227
159	36277	41038
160	36474	40778
161	36763	40621
162	37104	40518
163	37340	40300
164	37570	40074
165	37834	39886
166	38064	39659
167	38364	39506
168	38565	39249
169	38845	39073
170	39140	38911
171	39394	38707
172	39638	38493
173	39912	38306
174	40133	38069
175	40376	37852
176	40610	37628
177	40872	37427
178	41136	37229
179	41452	37077
180	41728	36887
181	41971	36667
182	42221	36453
183	42464	36233
184	42730	36032
185	42997	35831
186	43193	35570
187	43464	35372
188	43702	35147
189	43968	34943
190	44164	34684
191	44396	34453
192	44622	34217
193	44850	33984
194	45099	33766
195	45383	33574
196	45630	33354
197	45891	33143
198	46124	32913
199	46393	32707
200	46705	32531
201	47022	32357
202	47324	32171
203	47637	31991
204	47875	31761
205	48150	31554
206	48424	31347
207	48673	31122
208	48903	30886
209	49195	30688
210	49508	30502
211	49730	30260
212	50012	30054
213	50307	29855
214	50570	29636
215	50807	29402
216	51067	29181
217	51356	28976
218	51619	28756
219	51866	28526
220	52163	28323
221	52443	28111
222	52669	27870
223	52885	27623
224	53089	27370
225	53334	27139
226	53571	26903
227	53816	26672
228	54062	26441
229	54297	26204
230	54550	25976
231	54802	25747
232	55070	25526
233	55352	25310
234	55658	25105
235	55990	24911
236	56302	24706
237	56555	24475
238	56810	24245
239	57067	24015
240	57301	23776
241	57587	23558
242	57816	23317
243	58053	23078
244	58327	22854
245	58546	22609
246	58813	22382
247	59044	22141
248	59313	21915
249	59546	21675
250	59788	21438
251	60060	21211
252	60323	20981
253	60623	20764
254	60888	20535
255	61183	20314
256	61437	20080
257	61641	19830
258	61859	19584
259	62108	19349
260	62357	19113
261	62648	18890
262	62953	18670
263	63235	18443
264	63511	18214
265	63778	17982
266	64021	17743
267	64242	17499
268	64500	17264
269	64761	17029
270	65002	16790
271	65216	16543
272	65413	16293
273	65633	16049
274	65884	15812
275	66133	15574
276	66393	15340
277	66667	15108
278	66922	14871
279	67163	14631
280	67381	14387
281	67603	14143
282	67810	13897
283	68040	13656
284	68319	13424
285	68586	13189
286	68848	12954
287	69148	12725
288	69413	12489
289	69667	12251
290	69915	12012
291	70148	11771
292	70400	11533
293	70648	11294
294	70868	11050
295	71058	10802
296	71298	10562
297	71513	10319
298	71783	10083
299	72039	9845
300	72295	9607
301	72528	9366
302	72796	9129
303	73029	8888
304	73275	8648
305	73516	8408
306	73769	8169
307	74024	7931
308	74241	7688
309	74521	7452
310	74793	7214
311	75048	6975
312	75283	6734
313	75538	6495
314	75768	6253
315	76017	6014
316	76286	5775
317	76524	5534
318	76785	5295
319	77001	5053
320	77254	4813
321	77513	4573
322	77769	4333
323	78000	4092
324	78217	3850
325	78509	3612
326	78749	3371
327	78990	3130
328	79249	2890
329	79475	2649
330	79749	2409
331	80002	2168
332	80299	1929
333	80591	1689
334	80855	1448
335	81097	1206
336	81303	965
337	81570	723
338	81834	482
339	82117	241
340	82372	0
