iter	Logloss
0	0.6923276772
1	0.6915555865
2	0.6908861802
3	0.6902765041
4	0.6897143267
5	0.6891911702
6	0.6887149122
7	0.6882820625
8	0.6878944136
9	0.6875257915
10	0.6872027274
11	0.6868884864
12	0.6866183258
13	0.6863780257
14	0.6861488327
15	0.6859397848
16	0.6857270348
17	0.6855692484
18	0.6853966538
19	0.6852472508
20	0.6850991672
21	0.6849855897
22	0.6848586164
23	0.6847560282
24	0.6846448059
25	0.6845651392
26	0.684496068
27	0.6844165915
28	0.6843469181
29	0.6842602013
30	0.6841994772
31	0.6841421933
32	0.6840851804
33	0.6840336478
34	0.6839859432
35	0.6839339606
36	0.6838825848
37	0.6838427416
38	0.6837929633
39	0.6837541264
40	0.6837104315
41	0.6836793213
42	0.6836347433
43	0.6835981692
44	0.6835611839
45	0.683515665
46	0.6834729763
47	0.6834322588
48	0.6834003312
49	0.6833717542
50	0.6833385868
51	0.6833171354
52	0.6832761891
53	0.6832521909
54	0.6832303233
55	0.683200247
56	0.6831759314
57	0.6831566766
58	0.6831407563
59	0.6831208583
60	0.6830991405
61	0.6830769461
62	0.6830548415
63	0.6830358401
64	0.6830207584
65	0.6830054554
66	0.6829735798
67	0.6829618287
68	0.682948377
69	0.6829340543
70	0.6829176502
71	0.682898054
72	0.6828842766
73	0.682859045
74	0.682843275
75	0.6828332663
76	0.6828160375
77	0.6827928745
78	0.6827785544
79	0.6827602748
80	0.6827483112
81	0.6827377013
82	0.6827212691
83	0.6827106218
84	0.6826963836
85	0.6826684477
86	0.6826529297
87	0.6826366001
88	0.6826256984
89	0.6826008093
90	0.6825829162
91	0.6825714959
92	0.6825605876
93	0.6825499962
94	0.6825354369
95	0.6825227598
96	0.6825157093
97	0.6825063117
98	0.6824837553
99	0.682470591
100	0.682458239
101	0.6824470116
102	0.6824343556
103	0.6824253761
104	0.6824141325
105	0.6824056883
106	0.6823950987
107	0.6823855472
108	0.6823704199
109	0.6823584357
110	0.6823421885
111	0.6823203993
112	0.682305352
113	0.6822984091
114	0.6822899085
115	0.682263474
116	0.6822549276
117	0.6822417729
118	0.6822342611
119	0.6822254552
120	0.682215033
121	0.6822057436
122	0.6821981845
123	0.6821749579
124	0.6821632789
125	0.6821526574
126	0.6821466503
127	0.6821371294
128	0.6821257873
129	0.6821148982
130	0.6821043895
131	0.6820986652
132	0.6820907967
133	0.6820758344
134	0.6820632368
135	0.6820571923
136	0.682050758
137	0.6820441446
138	0.6820329659
139	0.6820160952
140	0.6819975602
141	0.6819927103
142	0.6819851184
143	0.6819772798
144	0.6819719082
145	0.681961945
146	0.6819512475
147	0.6819400835
148	0.6819329145
149	0.6819209694
150	0.6819141022
151	0.6819052741
152	0.6819004499
153	0.6818916045
154	0.6818850572
155	0.6818769149
156	0.6818628288
157	0.6818527915
158	0.6818457453
159	0.6818379616
160	0.6818309876
161	0.6818224858
162	0.6818164245
163	0.6818074996
164	0.6818010239
165	0.6817902046
166	0.681782732
167	0.6817738457
168	0.6817650803
169	0.6817591003
170	0.6817495935
171	0.6817393954
172	0.6817312263
173	0.6817230057
174	0.6817178417
175	0.6817119202
176	0.6817066064
177	0.6816982505
178	0.6816915196
179	0.6816827753
180	0.6816764416
181	0.6816631978
182	0.6816590002
183	0.6816493281
184	0.681640466
185	0.6816357721
186	0.6816287443
187	0.6816224961
188	0.6816108883
189	0.6816077478
190	0.6815993142
191	0.6815858821
192	0.6815785024
193	0.6815716664
194	0.6815616962
195	0.681550833
196	0.6815395026
197	0.6815326954
198	0.681525499
199	0.681518602
200	0.6815115517
201	0.6815042083
202	0.6814963934
203	0.6814885835
204	0.6814818861
205	0.6814746062
206	0.6814643258
207	0.6814595447
208	0.681452451
209	0.6814473266
210	0.6814413265
211	0.6814334137
212	0.6814272814
213	0.6814217732
214	0.681416078
215	0.6814070388
216	0.681400886
217	0.6813931539
218	0.6813879712
219	0.6813807138
220	0.6813709154
221	0.6813619835
222	0.6813576366
223	0.6813514388
224	0.6813415373
225	0.6813341429
226	0.6813299619
227	0.6813245131
228	0.681319036
229	0.681312199
230	0.6813043646
231	0.6812967224
232	0.6812887991
233	0.6812811727
234	0.6812754827
235	0.6812715043
236	0.6812651231
237	0.681261884
238	0.6812555996
239	0.6812517864
240	0.6812408478
241	0.6812359439
242	0.6812311085
243	0.6812242385
244	0.6812163035
245	0.6812098053
246	0.6812050877
247	0.6811977557
248	0.6811892488
249	0.6811799863
250	0.6811726547
251	0.6811660606
252	0.6811615836
253	0.6811562032
254	0.6811497849
255	0.6811412706
256	0.6811327545
257	0.6811260416
258	0.6811164547
259	0.6811068135
260	0.6811005551
261	0.681094538
262	0.6810875752
263	0.6810809947
264	0.6810750619
265	0.68106861
266	0.6810584758
267	0.6810541217
268	0.6810486771
269	0.6810386359
270	0.6810327116
271	0.6810224391
272	0.6810142735
273	0.6810068034
274	0.6809982074
275	0.6809892551
276	0.6809841413
277	0.6809719818
278	0.6809614067
279	0.6809540591
280	0.6809448682
281	0.680929455
282	0.6809208489
283	0.6809145777
284	0.6809055925
285	0.6809003756
286	0.6808947578
287	0.6808880275
288	0.6808787114
289	0.6808700165
290	0.6808619437
291	0.6808552222
292	0.6808485146
293	0.6808396003
294	0.6808298079
295	0.6808243768
296	0.6808166018
297	0.6808069767
298	0.6807992513
299	0.6807922345
300	0.6807855903
301	0.6807761748
302	0.6807696092
303	0.6807546721
304	0.6807483551
305	0.6807387698
306	0.6807316477
307	0.6807221395
308	0.6807174647
309	0.6807081617
310	0.6806980238
311	0.6806894597
312	0.6806797794
313	0.6806726729
314	0.6806648782
315	0.6806574593
316	0.6806496353
317	0.6806417984
318	0.6806348108
319	0.6806288677
320	0.6806177827
321	0.680608753
322	0.6806017069
323	0.6805858993
324	0.6805800034
325	0.680571881
326	0.6805634389
327	0.6805558137
328	0.6805469562
329	0.6805377461
330	0.6805307114
331	0.6805225453
332	0.6805151815
