iter	Passed	Remaining
0	282	91445
1	582	94011
2	836	89789
3	1142	91715
4	1432	91664
5	1680	89341
6	1918	87154
7	2228	88285
8	2485	87264
9	2782	87642
10	3068	87583
11	3357	87578
12	3614	86739
13	3920	87098
14	4164	86071
15	4444	85829
16	4735	85790
17	5017	85575
18	5318	85654
19	5606	85501
20	5885	85192
21	6172	85016
22	6486	85173
23	6771	84923
24	7067	84806
25	7366	84716
26	7669	84644
27	7970	84543
28	8281	84527
29	8588	84455
30	8839	83832
31	9079	83134
32	9387	83063
33	9700	83025
34	9971	82619
35	10238	82193
36	10476	81543
37	10760	81273
38	10988	80585
39	11255	80194
40	11504	79687
41	11795	79477
42	12109	79415
43	12432	79396
44	12714	79114
45	12948	78536
46	13249	78367
47	13534	78106
48	13828	77892
49	14123	77677
50	14421	77479
51	14733	77348
52	15027	77120
53	15260	76587
54	15536	76269
55	15843	76106
56	16138	75877
57	16426	75617
58	16706	75318
59	16989	75037
60	17291	74837
61	17583	74586
62	17852	74245
63	18134	73953
64	18410	73640
65	18677	73295
66	18931	72900
67	19239	72715
68	19518	72414
69	19817	72191
70	20113	71956
71	20352	71516
72	20650	71287
73	20980	71162
74	21315	71051
75	21574	70684
76	21856	70394
77	22150	70142
78	22477	69993
79	22810	69856
80	23100	69587
81	23390	69315
82	23671	69017
83	23919	68627
84	24218	68380
85	24499	68087
86	24797	67836
87	25093	67582
88	25394	67339
89	25674	67038
90	25961	66758
91	26202	66361
92	26504	66118
93	26827	65926
94	27117	65653
95	27417	65402
96	27728	65175
97	28017	64896
98	28299	64602
99	28593	64334
100	28867	64022
101	29148	63725
102	29465	63508
103	29706	63125
104	29975	62806
105	30236	62470
106	30582	62307
107	30831	61949
108	31097	61623
109	31374	61323
110	31678	61073
111	31974	60808
112	32263	60530
113	32577	60296
114	32867	60018
115	33156	59739
116	33445	59458
117	33736	59182
118	33973	58811
119	34264	58535
120	34513	58187
121	34827	57949
122	35104	57651
123	35392	57370
124	35707	57131
125	35988	56838
126	36285	56571
127	36574	56290
128	36866	56014
129	37105	55658
130	37413	55405
131	37661	55065
132	37976	54823
133	38255	54529
134	38547	54252
135	38825	53955
136	39069	53613
137	39359	53334
138	39652	53059
139	39978	52828
140	40286	52571
141	40672	52415
142	40967	52140
143	41200	51786
144	41520	51542
145	41787	51232
146	42031	50895
147	42270	50552
148	42550	50260
149	42864	50008
150	43163	49738
151	43481	49488
152	43725	49155
153	44011	48870
154	44330	48620
155	44636	48356
156	44903	48049
157	45138	47709
158	45405	47404
159	45725	47153
160	46002	46860
161	46273	46558
162	46517	46231
163	46795	45939
164	47094	45667
165	47388	45389
166	47686	45116
167	47980	44839
168	48262	44549
169	48565	44280
170	48843	43987
171	49171	43739
172	49477	43471
173	49792	43210
174	50105	42947
175	50375	42647
176	50649	42350
177	50926	42056
178	51194	41756
179	51536	41515
180	51827	41232
181	52069	40911
182	52374	40640
183	52692	40378
184	53003	40110
185	53269	39808
186	53535	39507
187	53812	39214
188	54144	38960
189	54417	38665
190	54680	38362
191	54992	38093
192	55292	37816
193	55600	37544
194	55867	37244
195	56157	36960
196	56458	36683
197	56743	36396
198	57053	36124
199	57340	35837
200	57634	35555
201	57909	35261
202	58161	34954
203	58481	34687
204	58851	34449
205	59163	34176
206	59478	33905
207	59796	33635
208	60111	33363
209	60420	33087
210	60687	32788
211	60928	32476
212	61229	32195
213	61541	31921
214	61812	31625
215	62136	31356
216	62427	31070
217	62697	30773
218	62981	30484
219	63268	30196
220	63515	29889
221	63795	29598
222	64079	29309
223	64304	28994
224	64619	28719
225	64903	28431
226	65213	28153
227	65433	27837
228	65668	27529
229	65965	27246
230	66278	26970
231	66511	26661
232	66757	26359
233	67080	26087
234	67386	25807
235	67609	25496
236	67886	25206
237	68186	24925
238	68502	24649
239	68766	24354
240	69027	24059
241	69251	23751
242	69531	23463
243	69848	23187
244	70160	22909
245	70485	22635
246	70776	22350
247	71082	22069
248	71412	21796
249	71734	21520
250	72023	21234
251	72357	20960
252	72696	20688
253	72972	20397
254	73226	20101
255	73536	19820
256	73787	19523
257	74096	19242
258	74387	18955
259	74707	18676
260	75017	18395
261	75311	18109
262	75596	17821
263	75921	17542
264	76240	17261
265	76557	16980
266	76811	16685
267	77122	16402
268	77437	16120
269	77741	15836
270	78065	15555
271	78398	15276
272	78681	14986
273	78966	14698
274	79267	14412
275	79575	14127
276	79908	13847
277	80181	13555
278	80432	13261
279	80678	12966
280	80941	12674
281	81255	12390
282	81579	12107
283	81816	11811
284	82112	11524
285	82439	11241
286	82773	10959
287	83064	10671
288	83332	10380
289	83648	10095
290	83950	9808
291	84279	9524
292	84596	9239
293	84875	8949
294	85176	8661
295	85455	8372
296	85721	8081
297	86004	7792
298	86281	7502
299	86567	7213
300	86859	6925
301	87128	6635
302	87449	6349
303	87757	6062
304	88069	5775
305	88343	5485
306	88675	5199
307	89041	4914
308	89355	4626
309	89666	4338
310	90015	4052
311	90345	3764
312	90655	3475
313	90931	3185
314	91271	2897
315	91558	2607
316	91809	2316
317	92081	2026
318	92418	1738
319	92738	1449
320	93016	1159
321	93286	869
322	93598	579
323	93881	289
324	94180	0
